nombre,fecha,download_url
SECUESTRO.xlsx,"{'value': '2026-03-25T00:06:10.331Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTDC54E523A2BA492AA1C57065A0D3C6D8/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
TRATA DE PERSONAS Y TRÁFICO DE MIGRANTES.xlsx,"{'value': '2026-03-25T00:06:34.008Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT03B8C922E3C54A1698E6FE92BDA66FB4/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
CAPTURAS POR MINERÍA ILEGAL.xlsx,"{'value': '2026-03-24T23:15:44.174Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT4F7084E366154CD1B233DEE8C36998A6/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIONES MINERIA.xlsx,"{'value': '2026-03-24T23:17:47.657Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTD4C1B83B821F41B3BB75F85A518B52A1/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIÓN ORO Y MERCURIO.xlsx,"{'value': '2026-03-24T23:16:34.867Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT59D80A6A5AC04C588D0E2353D523DFAB/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
MINAS INTERVENIDAS.xlsx,"{'value': '2026-03-24T23:17:04.231Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTD646BAB2D93A4EAC8A25B182A38EDDF8/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
DESMOVILIZADOS ELN.xlsx,"{'value': '2026-02-24T00:05:52.676Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT28FBFDEE1CEB493B8271EE7CED2A3B38/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
DESVINCULADOS.xlsx,"{'value': '2026-03-24T23:03:48.186Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT2A060A992EAD4BACBB5528FF71832EE7/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
SOMETIDOS.xlsx,"{'value': '2026-03-24T23:04:22.864Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT9DFC7BF965144F9DB8FD36DAA77CBBE6/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HOMICIDIO ACCIDENTES DE TRÁNSITO.xlsx,"{'value': '2026-03-24T15:37:17.348Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTD456E9301E634D93ACBCF54B70942138/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
